jersey,name,day,team,opponent,goal,assist,defense,drop,throwaway,o-line,o-scoring-line,d-line,d-scoring-line
45,Rutvikkumar Nayka,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
35,Sanjay Parmar,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
55,Swayam Narang,day-1,Gujarat Ultimate,Tamilnadu,,,,,,,,,
,Deepika Shankar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Gothainayagi R,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Monika Shankar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
8,Mrinalini Siddhartha,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
18,Pooja B,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
77,Pooja S,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
0,Sagarika AP,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
94,Samyuktha Arvind,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Selvi Murugan,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Shruthi Nathella,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
13,Snehankita Rout,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Srividya Suriyashekar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
2,Vijaya Dharshini M,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Arulmozhi Selvan,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Hariharan Kumar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Harsh Nisar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
31,Harsha GK,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Kiran Kumar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Kishore Kumar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Manikandan Kumar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Ramkumar Nithyanandam,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Siva Kumar,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
99,Siva Raman,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
5,Subash S,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Vimanthan L,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
,Yuvaraj Magesh,day-1,Tamilnadu,Gujarat Ultimate,,,,,,,,,
17,Ananya Shaju,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
88,Apoorva C A,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
10,Ashwini Lokanath,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Auroshree Mohanta,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
55,Meenakshi Kallapa Poojar,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Naina Mathews,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Pooja Raghu,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Sagarika Ghanagam,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
19,Shrilaxmi Patil,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Shruthi Gowda,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
2,Sneha Patil,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
3,Stania Peris,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
3,Swathi Shetty,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Vaishnavi Devi,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Aaron Varghese,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Abdul Talib,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
58,Ajith Jagadish,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Chethan Srikanth,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
0,Deepak Gowda,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Esai Selvan Esakki,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
18,Grant Wagner,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
9,Naveen G,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Prashanth S,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
13,Ranjan Khyadad,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Sabeel Khader,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Samatv Iyer,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
43,Sarang Minhas,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Sushil Kumar,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
,Yadav Ajay,day-1,Karnataka State,Maharashtra Ultimate,,,,,,,,,
24,Ananya Thomas,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
26,Anudnya Jori,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
3,Kalpana Rathod,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
6,Kavya Chandel,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
27,Kimaya Dhongde,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
97,Nirbha Ghurye,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
11,Poonam Pokale,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
22,Radhika Rathod,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
93,Sahitra Ghurye,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
7,Sapna Dodmani,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
20,Sharanya Ramesh,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
77,Sushma Tapse,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
73,Vaishnavi _,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
19,Vidya Parmar,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
68,Chandan Dubey,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
14,Karan Arora,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
63,Kunal Pasalkar,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
92,Maksood Chaudhary,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
69,Rohan Bijoor,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
23,Sachin Pandit,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
9,Sandeep Kannoujia,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
49,Sanjeev Kumar,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
31,Shivamkumar Dubey,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
74,Shubham More,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
58,Sunil Varma,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
1,Sushant Tapse,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
4,Tahir Siddiqui,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
10,Vikas Chauhan,day-1,Maharashtra Ultimate,Karnataka State,,,,,,,,,
88,Anushka Mallah,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,3,1,,
8,Harshita Kori,day-1,Madhya Pradesh,Delhi Ultimate,1,,,1,,14,4,5,2
12,Jiya Parmar,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,,
13,Malti Jhanjhoriya,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,5,3,4,1
33,Muskaan Mallah,day-1,Madhya Pradesh,Delhi Ultimate,1,,1,,,13,4,8,3
19,Sakshi Mallah,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,3,1,2,
22,Shagun Kori,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,,
18,Shraddha Tiwari,day-1,Madhya Pradesh,Delhi Ultimate,,1,,,,10,3,3,2
81,Shruti Kori,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,2,,1,
5,Vandana Jhanjhoriya,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,3,1
27,Abhishek Pawar,day-1,Madhya Pradesh,Delhi Ultimate,1,,,,1,4,,1,
1,Anish Mallah,day-1,Madhya Pradesh,Delhi Ultimate,1,1,,1,1,10,,3,
7,Anurag Patel,day-1,Madhya Pradesh,Delhi Ultimate,,1,,,,2,1,7,2
99,Aryan Rawat,day-1,Madhya Pradesh,Delhi Ultimate,2,,1,,,4,,8,3
17,Dhanraj Kalar,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,3,1
4,Dilbaras Parmar,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,,
10,Harsh Kori,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,5,,2,
77,Karan Mallah,day-1,Madhya Pradesh,Delhi Ultimate,,3,2,,,4,1,6,3
11,Om Yadav,day-1,Madhya Pradesh,Delhi Ultimate,1,,,1,,6,1,1,1
3,Radhepal Choudhary,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,2,1
2,Rajveer Parmar,day-1,Madhya Pradesh,Delhi Ultimate,,,,,,,,,
14,Rizwan Singh,day-1,Madhya Pradesh,Delhi Ultimate,,1,1,3,,6,2,3,1
9,Stephen Charles,day-1,Madhya Pradesh,Delhi Ultimate,,,,1,,7,1,,
10,Aarti Kumari,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,3,3
95,Aastha Gupta,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,5,4,2,1
27,Garima Rathore,day-1,Delhi Ultimate,Madhya Pradesh,1,1,1,2,,8,5,10,6
12,Khushboo Khatun,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,1,1
28,Mansi Walecha,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,2,1
8,Mehr Parisha,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,7,4
16,Prachi Mehta,day-1,Delhi Ultimate,Madhya Pradesh,,,,,,,,1,0
