"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line","","","","","","","","","","","",""
"45","Sunny Azad","day-2","Uttar Pradesh","Maharashtra Ultimate","1","7","1","1","4","8","6","8","5","","","","","","","","","","","",""
"1","Vikram Namdeo","day-2","Uttar Pradesh","Maharashtra Ultimate","","1","","","1","6","5","4","1","","","","","","","","","","","",""
"24","Ananya Thomas","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"26","Anudnya Jori","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"3","Kalpana Rathod","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"6","Kavya Chandel","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"27","Kimaya Dhongde","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"97","Nirbha Ghurye","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","3","2","8","2","","","","","","","","","","","",""
"11","Poonam Pokale","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"22","Radhika Rathod","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","1","","4","1","","","","","","","","","","","","","",""
"93","Sahitra Ghurye","day-2","Maharashtra Ultimate","Uttar Pradesh","2","2","2","1","2","11","6","8","2","","","","","","","","","","","",""
"7","Sapna Dodmani","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"20","Sharanya Ramesh","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","7","3","","","","","","","","","","","","","",""
"77","Sushma Tapse","day-2","Maharashtra Ultimate","Uttar Pradesh","","1","","","1","10","5","","","","","","","","","","","","","",""
"73","Vaishnavi _","day-2","Maharashtra Ultimate","Uttar Pradesh","","","1","1","","3","3","5","1","","","","","","","","","","","",""
"19","Vidya Parmar","day-2","Maharashtra Ultimate","Uttar Pradesh","","","","","","","","7","2","","","","","","","","","","","",""
"68","Chandan Dubey","day-2","Maharashtra Ultimate","Uttar Pradesh","","","1","","","1","","7","2","","","","","","","","","","","",""
