"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line","","","","","","","","","","","",""
"74","Shubham More","day-2","Maharashtra Ultimate","Madhya Pradesh","1","1","","","","7","4","","","","","","","","","","","","","",""
"58","Sunil Varma","day-2","Maharashtra Ultimate","Madhya Pradesh","2","1","","","","5","3","","","","","","","","","","","","","",""
"1","Sushant Tapse","day-2","Maharashtra Ultimate","Madhya Pradesh","","","","","2","3","1","1","","","","","","","","","","","","",""
"4","Tahir Siddiqui","day-2","Maharashtra Ultimate","Madhya Pradesh","1","3","","","","","","10","6","","","","","","","","","","","",""
"10","Vikas Chauhan","day-2","Maharashtra Ultimate","Madhya Pradesh","","","","","","1","1","1","","","","","","","","","","","","",""
"88","Anushka Mallah","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"8","Harshita Kori","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","15","6","9","3","","","","","","","","","","","",""
"12","Jiya Parmar","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"13","Malti Jhanjhoriya","day-2","Madhya Pradesh","Maharashtra Ultimate","2","","","","","10","4","6","3","","","","","","","","","","","",""
"33","Muskaan Mallah","day-2","Madhya Pradesh","Maharashtra Ultimate","1","","","","","15","6","9","3","","","","","","","","","","","",""
"19","Sakshi Mallah","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","2","2","1","1","","","","","","","","","","","",""
"22","Shagun Kori","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"18","Shraddha Tiwari","day-2","Madhya Pradesh","Maharashtra Ultimate","2","","","1","","12","4","5","1","","","","","","","","","","","",""
"81","Shruti Kori","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"5","Vandana Jhanjhoriya","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"27","Abhishek Pawar","day-2","Madhya Pradesh","Maharashtra Ultimate","","","1","1","","1","1","1","","","","","","","","","","","","",""
"1","Anish Mallah","day-2","Madhya Pradesh","Maharashtra Ultimate","1","1","","1","1","6","1","7","2","","","","","","","","","","","",""
"7","Anurag Patel","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","1","","","","","","","","","","","","",""
"99","Aryan Rawat","day-2","Madhya Pradesh","Maharashtra Ultimate","2","2","","","1","11","3","9","3","","","","","","","","","","","",""
"17","Dhanraj Kalar","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"4","Dilbaras Parmar","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"10","Harsh Kori","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","8","5","","","","","","","","","","","","","",""
"77","Karan Mallah","day-2","Madhya Pradesh","Maharashtra Ultimate","","1","1","2","1","6","3","8","3","","","","","","","","","","","",""
"11","Om Yadav","day-2","Madhya Pradesh","Maharashtra Ultimate","1","1","","2","","7","3","6","2","","","","","","","","","","","",""
"3","Radhepal Choudhary","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"2","Rajveer Parmar","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"14","Rizwan Singh","day-2","Madhya Pradesh","Maharashtra Ultimate","","","","","","1","","","","","","","","","","","","","","",""
"9","Stephen Charles","day-2","Madhya Pradesh","Maharashtra Ultimate","","4","","1","3","11","4","1","","","","","","","","","","","","",""
"10","Aarti Kumari","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"95","Aastha Gupta","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"27","Garima Rathore","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"12","Khushboo Khatun","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"28","Mansi Walecha","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"8","Mehr Parisha","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"16","Prachi Mehta","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"34","Sangeeta Singh","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"51","Sowmya Gascon","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"3","Suhani Bedi","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"2","Veena Singh","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"17","Aman Doharey","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"94","Aranyadev Jhala","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"23","Jatin Meena","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"4","Kanishk K","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"47","Michiaki Ito","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"13","Mohit Rawat","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"6","Samarth Mishra","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"7","Sidharth Walecha","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"1","Subhadeep Guha","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"0","Sunny Chauhan","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"74","Udayan Philip","day-2","Delhi Ultimate","Telangana Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Akshara Domala","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Ankita P","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Goundla Mamatha","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Manasa H G","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Nayanatara Vadali","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Ramya Bhavana Kothapalli","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Sindhu M","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Usha Rani","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Varshita M","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Abimanyu Nair","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Anil K","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Anil Naik","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Dhiraj Gangaraju","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"1","Kishen Chandar","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"7","Mayank Dawra","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Panvi S","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Pranay M","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Ravitheja Tetali","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Sandeep G","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Suresh K","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Tharun K","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"59","Venkatesh Kumar","day-2","Telangana Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"97","Arya Shah","day-2","Gujarat Ultimate","Tamilnadu","","1","","","","13","8","5","1","","","","","","","","","","","",""
"39","Bhavya Jain","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","12","3","","","","","","","","","","","",""
"6","Dhwani Jain","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","3","1","","","","","","","","","","","",""
"21","Khushi Desai","day-2","Gujarat Ultimate","Tamilnadu","1","","","","","","","3","1","","","","","","","","","","","",""
"18","Kirtika Khambhu","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","","","","","","","","","","","","","",""
"1","Maitry Acharya","day-2","Gujarat Ultimate","Tamilnadu","","","","","","13","8","2","","","","","","","","","","","","",""
"2","Muskan Jain","day-2","Gujarat Ultimate","Tamilnadu","1","","","","","5","3","11","3","","","","","","","","","","","",""
"15","Neha Diwakar","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","","","","","","","","","","","","","",""
"4","Nimisha Vasava","day-2","Gujarat Ultimate","Tamilnadu","","","","","1","","","3","1","","","","","","","","","","","",""
"17","Ritika Solanki","day-2","Gujarat Ultimate","Tamilnadu","","","","","","11","7","","","","","","","","","","","","","",""
"5","Riya Rathod","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","","","","","","","","","","","","","",""
"12","Shraddha Chaudhary","day-2","Gujarat Ultimate","Tamilnadu","","","","","","3","2","2","","","","","","","","","","","","",""
"8","Suman Nachiketa","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","1","","","","","","","","","","","","",""
"9","Tanisha Rathod","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","","","","","","","","","","","","","",""
"23","Akshay Surange","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","10","2","","","","","","","","","","","",""
"11","Altaf Shaikh","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","2","1","","","","","","","","","","","",""
"29","Ansh Kapadia","day-2","Gujarat Ultimate","Tamilnadu","1","1","","","","3","1","9","2","","","","","","","","","","","",""
"7","Atul Parmar","day-2","Gujarat Ultimate","Tamilnadu","","1","","","","4","2","","","","","","","","","","","","","",""
"56","Jigarkumar Parmar","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","1","","","","","","","","","","","","",""
"26","Karan Sharam","day-2","Gujarat Ultimate","Tamilnadu","3","1","","","1","12","8","2","1","","","","","","","","","","","",""
"14","Kenny Borsada","day-2","Gujarat Ultimate","Tamilnadu","1","1","0","1","2","9","5","1","","","","","","","","","","","","",""
"19","Krish Patel","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","1","","","","","","","","","","","","",""
"10","Krishna Damor","day-2","Gujarat Ultimate","Tamilnadu","4","2","","2","","12","7","3","1","","","","","","","","","","","",""
"3","Nikhil Diwakar","day-2","Gujarat Ultimate","Tamilnadu","","","","","","1","1","","","","","","","","","","","","","",""
"84","Noman Pthan","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","2","","","","","","","","","","","","",""
"45","Rutvikkumar Nayka","day-2","Gujarat Ultimate","Tamilnadu","","4","","","","5","4","9","3","","","","","","","","","","","",""
"35","Sanjay Parmar","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","2","1","","","","","","","","","","","",""
"55","Swayam Narang","day-2","Gujarat Ultimate","Tamilnadu","","","","","","","","","","","","","","","","","","","","",""
"","Deepika Shankar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Gothainayagi R","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Monika Shankar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"8","Mrinalini Siddhartha","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"18","Pooja B","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"77","Pooja S","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"0","Sagarika AP","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"94","Samyuktha Arvind","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Selvi Murugan","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Shruthi Nathella","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"13","Snehankita Rout","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Srividya Suriyashekar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"2","Vijaya Dharshini M","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Arulmozhi Selvan","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Hariharan Kumar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Harsh Nisar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"31","Harsha GK","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Kiran Kumar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Kishore Kumar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Manikandan Kumar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Ramkumar Nithyanandam","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Siva Kumar","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"99","Siva Raman","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"5","Subash S","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Vimanthan L","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Yuvaraj Magesh","day-2","Tamilnadu","Gujarat Ultimate","","","","","","","","","","","","","","","","","","","","",""
"17","Ananya Shaju","day-2","Karnataka State","Uttar Pradesh","","1","1","","1","1","1","5","2","","","","","","","","","","","",""
"88","Apoorva C A","day-2","Karnataka State","Uttar Pradesh","","","","","","2","2","3","1","","","","","","","","","","","",""
"10","Ashwini Lokanath","day-2","Karnataka State","Uttar Pradesh","","","","1","","6","6","","","","","","","","","","","","","",""
"","Auroshree Mohanta","day-2","Karnataka State","Uttar Pradesh","","","","","","","","5","1","","","","","","","","","","","",""
"55","Meenakshi Kallapa Poojar","day-2","Karnataka State","Uttar Pradesh","","","","","","2","1","4","1","","","","","","","","","","","",""
"","Naina Mathews","day-2","Karnataka State","Uttar Pradesh","1","","","","1","","","5","2","","","","","","","","","","","",""
"","Pooja Raghu","day-2","Karnataka State","Uttar Pradesh","1","","","","","4","4","6","4","","","","","","","","","","","",""
"","Sagarika Ghanagam","day-2","Karnataka State","Uttar Pradesh","","","","","","","","4","1","","","","","","","","","","","",""
"19","Shrilaxmi Patil","day-2","Karnataka State","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Shruthi Gowda","day-2","Karnataka State","Uttar Pradesh","","","","","","","","4","","","","","","","","","","","","",""
"2","Sneha Patil","day-2","Karnataka State","Uttar Pradesh","3","","1","","","9","8","2","1","","","","","","","","","","","",""
"3","Stania Peris","day-2","Karnataka State","Uttar Pradesh","1","4","1","","","10","9","2","1","","","","","","","","","","","",""
"3","Swathi Shetty","day-2","Karnataka State","Uttar Pradesh","","","","","1","","","5","3","","","","","","","","","","","",""
"","Vaishnavi Devi","day-2","Karnataka State","Uttar Pradesh","","","","","","","","6","4","","","","","","","","","","","",""
"","Aaron Varghese","day-2","Karnataka State","Uttar Pradesh","1","1","","","","9","8","","","","","","","","","","","","","",""
"","Abdul Talib","day-2","Karnataka State","Uttar Pradesh","2","","1","","","","","5","2","","","","","","","","","","","",""
"58","Ajith Jagadish","day-2","Karnataka State","Uttar Pradesh","","3","","","","4","4","1","0","","","","","","","","","","","",""
"","Chethan Srikanth","day-2","Karnataka State","Uttar Pradesh","","2","","","","3","3","3","2","","","","","","","","","","","",""
"0","Deepak Gowda","day-2","Karnataka State","Uttar Pradesh","","","","","","3","2","4","","","","","","","","","","","","",""
"","Esai Selvan Esakki","day-2","Karnataka State","Uttar Pradesh","","2","1","","","","","6","4","","","","","","","","","","","",""
"18","Grant Wagner","day-2","Karnataka State","Uttar Pradesh","1","","2","","1","2","2","3","2","","","","","","","","","","","",""
"9","Naveen G","day-2","Karnataka State","Uttar Pradesh","","1","","","","5","4","3","1","","","","","","","","","","","",""
"","Prashanth S","day-2","Karnataka State","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"13","Ranjan Khyadad","day-2","Karnataka State","Uttar Pradesh","1","","1","","","2","2","4","","","","","","","","","","","","",""
"","Sabeel Khader","day-2","Karnataka State","Uttar Pradesh","2","","","1","1","7","6","2","1","","","","","","","","","","","",""
"","Samatv Iyer","day-2","Karnataka State","Uttar Pradesh","","","","","1","1","1","5","1","","","","","","","","","","","",""
"43","Sarang Minhas","day-2","Karnataka State","Uttar Pradesh","2","3","","","","","","6","5","","","","","","","","","","","",""
"","Sushil Kumar","day-2","Karnataka State","Uttar Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Yadav Ajay","day-2","Karnataka State","Uttar Pradesh","","","","","","","","6","3","","","","","","","","","","","",""
"11","Angana Prasad","day-2","Uttar Pradesh","Karnataka State","","","","","","","","","","","","","","","","","","","","",""
"17","Anshika Itaunja","day-2","Uttar Pradesh","Karnataka State","","","","1","","","","1","","","","","","","","","","","","",""
"8","Kajal JMP","day-2","Uttar Pradesh","Karnataka State","2","","","","","7","5","6","1","","","","","","","","","","","",""
"97","Mabiya Parbeen","day-2","Uttar Pradesh","Karnataka State","2","","","","","9","5","6","1","","","","","","","","","","","",""
"9","Manju Kushwaha","day-2","Uttar Pradesh","Karnataka State","","","","","","12","7","6","","","","","","","","","","","","",""
"2","Neha Bharti","day-2","Uttar Pradesh","Karnataka State","1","","1","","","2","2","1","1","","","","","","","","","","","",""
"18","Raveena Kannaujia","day-2","Uttar Pradesh","Karnataka State","","","","","","","","","","","","","","","","","","","","",""
"19","Roshni Bharti","day-2","Uttar Pradesh","Karnataka State","2","","","","","14","8","7","","","","","","","","","","","","",""
"41","Sheeba Itaunja","day-2","Uttar Pradesh","Karnataka State","","","","","","","","","","","","","","","","","","","","",""
"22","Vandana Kashyap","day-2","Uttar Pradesh","Karnataka State","1","","","","1","6","2","7","","","","","","","","","","","","",""
"23","Akshai Abraham","day-2","Uttar Pradesh","Karnataka State","","","","","","","","","","","","","","","","","","","","",""
"10","Arun Kumar","day-2","Uttar Pradesh","Karnataka State","","","","","","","","","","","","","","","","","","","","",""
"12","Chandan Rastogi","day-2","Uttar Pradesh","Karnataka State","","","","","","","","2","","","","","","","","","","","","",""
"15","Divakar Rai","day-2","Uttar Pradesh","Karnataka State","","","","","","2","1","","","","","","","","","","","","","",""
"7","Govind JMP","day-2","Uttar Pradesh","Karnataka State","","","1","2","","9","5","5","1","","","","","","","","","","","",""
"3","Gufraan Itaunja","day-2","Uttar Pradesh","Karnataka State","","","","","","","","2","","","","","","","","","","","","",""
"4","Krishna Sharma","day-2","Uttar Pradesh","Karnataka State","","","","","","","","3","1","","","","","","","","","","","",""
"85","Krishna Singh","day-2","Uttar Pradesh","Karnataka State","","","","","1","","","3","","","","","","","","","","","","",""
"5","Priyanshu Singh","day-2","Uttar Pradesh","Karnataka State","1","","1","","2","12","7","7","1","","","","","","","","","","","",""
"60","Sonu Kashyap","day-2","Uttar Pradesh","Karnataka State","","","2","","1","6","4","4","","","","","","","","","","","","",""
"45","Sunny Azad","day-2","Uttar Pradesh","Karnataka State","","8","2","","6","14","8","7","1","","","","","","","","","","","",""
"1","Vikram Namdeo","day-2","Uttar Pradesh","Karnataka State","","","","1","1","5","2","3","","","","","","","","","","","","",""
"10","Aarti Kumari","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"95","Aastha Gupta","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"27","Garima Rathore","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"12","Khushboo Khatun","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"28","Mansi Walecha","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"8","Mehr Parisha","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"16","Prachi Mehta","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"34","Sangeeta Singh","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"51","Sowmya Gascon","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"3","Suhani Bedi","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"2","Veena Singh","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"17","Aman Doharey","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"94","Aranyadev Jhala","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"23","Jatin Meena","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"4","Kanishk K","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"47","Michiaki Ito","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"13","Mohit Rawat","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"6","Samarth Mishra","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"7","Sidharth Walecha","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"1","Subhadeep Guha","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"0","Sunny Chauhan","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"74","Udayan Philip","day-2","Delhi Ultimate","Maharashtra Ultimate","","","","","","","","","","","","","","","","","","","","",""
"24","Ananya Thomas","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"26","Anudnya Jori","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"3","Kalpana Rathod","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"6","Kavya Chandel","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"27","Kimaya Dhongde","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"97","Nirbha Ghurye","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"11","Poonam Pokale","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"22","Radhika Rathod","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"93","Sahitra Ghurye","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"7","Sapna Dodmani","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"20","Sharanya Ramesh","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"77","Sushma Tapse","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"73","Vaishnavi _","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"19","Vidya Parmar","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"68","Chandan Dubey","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"14","Karan Arora","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"63","Kunal Pasalkar","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"92","Maksood Chaudhary","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"69","Rohan Bijoor","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"23","Sachin Pandit","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"9","Sandeep Kannoujia","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"49","Sanjeev Kumar","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"31","Shivamkumar Dubey","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"74","Shubham More","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"58","Sunil Varma","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"1","Sushant Tapse","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"4","Tahir Siddiqui","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"10","Vikas Chauhan","day-2","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","","","","","","","","","","","","","",""
"","Akshara Domala","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Ankita P","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Goundla Mamatha","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Manasa H G","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Nayanatara Vadali","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Ramya Bhavana Kothapalli","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Sindhu M","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
"","Usha Rani","day-2","Telangana Ultimate","Madhya Pradesh","","","","","","","","","","","","","","","","","","","","",""
