"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"93","Sahitra Ghurye","day-1","Maharashtra Ultimate","Delhi Ultimate","2","","1","","2","8","6","9","4"
"7","Sapna Dodmani","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","",""
"20","Sharanya Ramesh","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","","5","4","",""
"77","Sushma Tapse","day-1","Maharashtra Ultimate","Delhi Ultimate","1","","","","","7","5","1",""
"73","Vaishnavi _","day-1","Maharashtra Ultimate","Delhi Ultimate","","","1","","","6","","5",""
"19","Vidya Parmar","day-1","Maharashtra Ultimate","Delhi Ultimate","1","","","","","","","7","3"
"68","Chandan Dubey","day-1","Maharashtra Ultimate","Delhi Ultimate","2","","1","","","","","9","3"
"14","Karan Arora","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","",""
"63","Kunal Pasalkar","day-1","Maharashtra Ultimate","Delhi Ultimate","2","2","","","","3","3","4","2"
"92","Maksood Chaudhary","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","",""
"69","Rohan Bijoor","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","","","","1",""
"23","Sachin Pandit","day-1","Maharashtra Ultimate","Delhi Ultimate","","2","3","","1","1","1","9","3"
"9","Sandeep Kannoujia","day-1","Maharashtra Ultimate","Delhi Ultimate","","2","","","1","","","7","4"
"49","Sanjeev Kumar","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","1","","","1",""
"31","Shivamkumar Dubey","day-1","Maharashtra Ultimate","Delhi Ultimate","1","1","","","","5","3","2",""
"74","Shubham More","day-1","Maharashtra Ultimate","Delhi Ultimate","","3","","","5","7","5","",""
"58","Sunil Varma","day-1","Maharashtra Ultimate","Delhi Ultimate","1","","","","3","5","4","",""
"1","Sushant Tapse","day-1","Maharashtra Ultimate","Delhi Ultimate","1","1","","","1","5","5","",""
"4","Tahir Siddiqui","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","1","","","","6","2"
"10","Vikas Chauhan","day-1","Maharashtra Ultimate","Delhi Ultimate","","","","","","4","3","1","1"
"17","Ananya Shaju","day-1","Karnataka State","Madhya Pradesh","1","","","","","","","4","3"
"88","Apoorva C A","day-1","Karnataka State","Madhya Pradesh","","","","1","2","1","1","5","3"
"10","Ashwini Lokanath","day-1","Karnataka State","Madhya Pradesh","","","","1","","3","3","2","1"
"","Auroshree Mohanta","day-1","Karnataka State","Madhya Pradesh","","","","","","1","1","4","4"
"55","Meenakshi Kallapa Poojar","day-1","Karnataka State","Madhya Pradesh","","","","","","5","5","4","2"
"","Naina Mathews","day-1","Karnataka State","Madhya Pradesh","2","","","","","1","1","3","1"
"","Pooja Raghu","day-1","Karnataka State","Madhya Pradesh","1","1","2","","1","","","7","5"
"","Sagarika Ghanagam","day-1","Karnataka State","Madhya Pradesh","","","","1","","1","1","2","2"
"19","Shrilaxmi Patil","day-1","Karnataka State","Madhya Pradesh","","","","","","","","",""
"","Shruthi Gowda","day-1","Karnataka State","Madhya Pradesh","","","","","1","1","1","3","2"
"2","Sneha Patil","day-1","Karnataka State","Madhya Pradesh","2","1","","1","","2","2","2","2"
"3","Stania Peris","day-1","Karnataka State","Madhya Pradesh","3","1","2","","","2","2","6","4"
"3","Swathi Shetty","day-1","Karnataka State","Madhya Pradesh","","","","","","1","1","4","4"
"","Vaishnavi Devi","day-1","Karnataka State","Madhya Pradesh","","","","1","","","","2","2"
"","Aaron Varghese","day-1","Karnataka State","Madhya Pradesh","","2","","","","4","4","",""
"","Abdul Talib","day-1","Karnataka State","Madhya Pradesh","1","","","","1","","","5","3"
"58","Ajith Jagadish","day-1","Karnataka State","Madhya Pradesh","1","2","","","","1","1","5","4"
"","Chethan Srikanth","day-1","Karnataka State","Madhya Pradesh","","1","1","","","","","4","3"
"0","Deepak Gowda","day-1","Karnataka State","Madhya Pradesh","1","2","","","","4","4","2","1"
"","Esai Selvan Esakki","day-1","Karnataka State","Madhya Pradesh","2","","","","","","","5","5"
"18","Grant Wagner","day-1","Karnataka State","Madhya Pradesh","","","","","","3","3","3","3"
"9","Naveen G","day-1","Karnataka State","Madhya Pradesh","","","","","","","","3","1"
"","Prashanth S","day-1","Karnataka State","Madhya Pradesh","","","","","","","","",""
"13","Ranjan Khyadad","day-1","Karnataka State","Madhya Pradesh","","1","1","","","","","4","2"
"","Sabeel Khader","day-1","Karnataka State","Madhya Pradesh","1","1","","","","1","1","5","4"
"","Samatv Iyer","day-1","Karnataka State","Madhya Pradesh","","1","","","","2","2","3","2"
"43","Sarang Minhas","day-1","Karnataka State","Madhya Pradesh","","1","1","","","2","2","5","5"
"","Sushil Kumar","day-1","Karnataka State","Madhya Pradesh","","","","","","","","",""
"","Yadav Ajay","day-1","Karnataka State","Madhya Pradesh","","1","1","","","","","6","3"
"88","Anushka Mallah","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"8","Harshita Kori","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"12","Jiya Parmar","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"13","Malti Jhanjhoriya","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"33","Muskaan Mallah","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"19","Sakshi Mallah","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"22","Shagun Kori","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"18","Shraddha Tiwari","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"81","Shruti Kori","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"5","Vandana Jhanjhoriya","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"27","Abhishek Pawar","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"1","Anish Mallah","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"7","Anurag Patel","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"99","Aryan Rawat","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"17","Dhanraj Kalar","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"4","Dilbaras Parmar","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"10","Harsh Kori","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"77","Karan Mallah","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"11","Om Yadav","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"3","Radhepal Choudhary","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"2","Rajveer Parmar","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"14","Rizwan Singh","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"9","Stephen Charles","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
"6","Kunal Namdev","day-1","Madhya Pradesh","Karnataka State","","","","","","","","",""
