"Jersey","Name","Day","Team","Opponent","goal","assist","defense","drop","throwaway","o-line","o-scoring-line","d-line","d-scoring-line"
"26","Karan Sharam","day-1","Gujarat Ultimate","Tamilnadu","4","5","1","","2","13","11","1","1"
"14","Kenny Borsada","day-1","Gujarat Ultimate","Tamilnadu","2","1","","","1","12","11","0","0"
"19","Krish Patel","day-1","Gujarat Ultimate","Tamilnadu","","1","","","","0","0","2","1"
"10","Krishna Damor","day-1","Gujarat Ultimate","Tamilnadu","2","3","","","","11","9","1","0"
"3","Nikhil Diwakar","day-1","Gujarat Ultimate","Tamilnadu","","","","","","3","3","0","0"
"84","Noman Pthan","day-1","Gujarat Ultimate","Tamilnadu","","","","","","1","0","0","0"
"45","Rutvikkumar Nayka","day-1","Gujarat Ultimate","Tamilnadu","","","1","","","0","0","10","2"
"35","Sanjay Parmar","day-1","Gujarat Ultimate","Tamilnadu","","1","","","","0","0","6","1"
"55","Swayam Narang","day-1","Gujarat Ultimate","Tamilnadu","","","","","","0","0","2","0"
"","Deepika Shankar","day-1","Tamilnadu","Gujarat Ultimate","","","","1","1","","","10","2"
"","Gothainayagi R","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","2",""
"","Monika Shankar","day-1","Tamilnadu","Gujarat Ultimate","2","","","","1","11","9","2","1"
"8","Mrinalini Siddhartha","day-1","Tamilnadu","Gujarat Ultimate","","","","","","8","8","1",""
"18","Pooja B","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","2",""
"77","Pooja S","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","",""
"0","Sagarika AP","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","5",""
"94","Samyuktha Arvind","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","4","1"
"","Selvi Murugan","day-1","Tamilnadu","Gujarat Ultimate","1","2","","","","12","10","3","2"
"","Shruthi Nathella","day-1","Tamilnadu","Gujarat Ultimate","","1","","1","","11","9","3",""
"13","Snehankita Rout","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","4",""
"","Srividya Suriyashekar","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","9","1"
"2","Vijaya Dharshini M","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","",""
"","Arulmozhi Selvan","day-1","Tamilnadu","Gujarat Ultimate","","","","","","3","2","1",""
"","Hariharan Kumar","day-1","Tamilnadu","Gujarat Ultimate","2","4","1","","","12","10","4","2"
"","Harsh Nisar","day-1","Tamilnadu","Gujarat Ultimate","1","","1","","","","","4","2"
"31","Harsha GK","day-1","Tamilnadu","Gujarat Ultimate","","1","","","","","","12","1"
"","Kiran Kumar","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","4",""
"","Kishore Kumar","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","",""
"","Manikandan Kumar","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","6",""
"","Ramkumar Nithyanandam","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","5",""
"","Siva Kumar","day-1","Tamilnadu","Gujarat Ultimate","","","","","","3","2","",""
"99","Siva Raman","day-1","Tamilnadu","Gujarat Ultimate","6","2","","","","12","10","1",""
"5","Subash S","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","7","2"
"","Vimanthan L","day-1","Tamilnadu","Gujarat Ultimate","","2","","","","12","10","",""
"","Yuvaraj Magesh","day-1","Tamilnadu","Gujarat Ultimate","","","","","","","","1",""
"97","Arya Shah","day-1","Gujarat Ultimate","Telangana Ultimate","","","","1","","1","1","1","1"
"39","Bhavya Jain","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","","","4","1"
"6","Dhwani Jain","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","2","1","7","3"
"21","Khushi Desai","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","1","1","6","4"
"18","Kirtika Khambhu","day-1","Gujarat Ultimate","Telangana Ultimate","","","","1","","2","1","3","1"
"1","Maitry Acharya","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","2","2","",""
"2","Muskan Jain","day-1","Gujarat Ultimate","Telangana Ultimate","2","","","","","1","1","6","3"
"15","Neha Diwakar","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","1","1","1","5","3"
"4","Nimisha Vasava","day-1","Gujarat Ultimate","Telangana Ultimate","","2","","","2","1","1","8","5"
"17","Ritika Solanki","day-1","Gujarat Ultimate","Telangana Ultimate","","1","2","","2","6","6","",""
"5","Riya Rathod","day-1","Gujarat Ultimate","Telangana Ultimate","1","1","","","","7","7","1",""
"12","Shraddha Chaudhary","day-1","Gujarat Ultimate","Telangana Ultimate","","","","1","1","4","3","2",""
"8","Suman Nachiketa","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","2","1","6","2"
"9","Tanisha Rathod","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","","","",""
"23","Akshay Surange","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","","","1","1"
"11","Altaf Shaikh","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","","","8","3"
"29","Ansh Kapadia","day-1","Gujarat Ultimate","Telangana Ultimate","1","1","1","","1","","","3","1"
"7","Atul Parmar","day-1","Gujarat Ultimate","Telangana Ultimate","","2","","","1","5","5","2",""
"56","Jigarkumar Parmar","day-1","Gujarat Ultimate","Telangana Ultimate","3","1","1","2","1","2","1","8","6"
"26","Karan Sharam","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","1","1","1","2","1"
"14","Kenny Borsada","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","1","1","1",""
"19","Krish Patel","day-1","Gujarat Ultimate","Telangana Ultimate","2","2","2","","1","4","3","5","4"
"10","Krishna Damor","day-1","Gujarat Ultimate","Telangana Ultimate","","1","","","1","2","1","1",""
"3","Nikhil Diwakar","day-1","Gujarat Ultimate","Telangana Ultimate","2","1","2","","1","6","6","2",""
"84","Noman Pthan","day-1","Gujarat Ultimate","Telangana Ultimate","5","1","","","2","8","8","2",""
"45","Rutvikkumar Nayka","day-1","Gujarat Ultimate","Telangana Ultimate","","","","","","","","",""
"35","Sanjay Parmar","day-1","Gujarat Ultimate","Telangana Ultimate","","1","","","1","2","2","4","2"
"55","Swayam Narang","day-1","Gujarat Ultimate","Telangana Ultimate","","","2","1","2","1","","10","6"
"","Akshara Domala","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","2","0","2","1"
"","Ankita P","day-1","Telangana Ultimate","Gujarat Ultimate","","1","","1","","11","6","2","0"
"","Goundla Mamatha","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","1","2","1","2","0"
"","Manasa H G","day-1","Telangana Ultimate","Gujarat Ultimate","","","1","","","2","0","6","1"
"","Nayanatara Vadali","day-1","Telangana Ultimate","Gujarat Ultimate","","","1","2","","2","0","7","1"
"","Ramya Bhavana Kothapalli","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","7","4","1","0"
"","Sindhu M","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","3","2","4","0"
"","Usha Rani","day-1","Telangana Ultimate","Gujarat Ultimate","2","","","","1","10","5","1","0"
"","Varshita M","day-1","Telangana Ultimate","Gujarat Ultimate","1","","","","","10","7","2","0"
"","Abimanyu Nair","day-1","Telangana Ultimate","Gujarat Ultimate","","","","","","0","0","2","0"
